,IdEstablecimiento,MS,Inscritos_suma_fonasa
0,109300,II,22550.0
1,109301,II,13708.0
2,109302,II,9284.0
3,109303,II,9342.0
4,109304,II,2983.0
5,109305,II,7572.0
6,109307,II,7128.0
7,109308,II,8368.0
8,109309,II,7723.0
9,109310,II,16797.0
10,109311,II,12633.0
11,109312,II,4383.0
12,109313,II,12879.0
13,109314,II,7806.0
14,109315,II,13366.0
15,109316,II,15914.0
16,109317,II,3748.0
17,109320,II,3381.0
18,109321,II,8327.0
19,109323,II,5278.0
20,109324,II,17368.0
21,109390,II,7009.0
22,109407,II,2574.0
23,109410,II,114.0
24,109412,II,149.0
25,109413,II,161.0
26,109414,II,481.0
27,109416,II,7.0
28,109417,II,28.0
29,109418,II,33.0
30,109419,II,19.0
31,109420,II,13.0
32,109709,II,810.0
33,109711,II,1500.0
34,109712,II,1903.0
35,109713,II,820.0
36,109715,II,1140.0
37,109716,II,318.0
38,109718,II,2723.0
39,110160,II,5800.0
40,110300,II,3.0
41,110308,II,11473.0
42,110310,II,8298.0
43,110315,II,11445.0
44,110316,II,8785.0
45,110320,II,11806.0
46,110325,II,9657.0
47,110330,II,11292.0
48,110331,II,6590.0
49,110335,II,9099.0
50,110340,II,11129.0
51,110345,II,8583.0
52,110350,II,17100.0
53,110351,II,11524.0
54,110352,II,11493.0
55,110353,II,7653.0
56,110354,II,15960.0
57,110355,II,10139.0
58,110360,II,17105.0
59,110361,II,10439.0
60,110362,II,8163.0
61,110364,II,5050.0
62,110366,II,16356.0
63,110369,II,12006.0
64,110370,II,9024.0
65,110375,II,6393.0
66,110378,II,10193.0
67,110379,II,9241.0
68,110380,II,2726.0
69,110381,II,1764.0
70,110385,II,2123.0
71,110387,II,2712.0
72,110390,II,17048.0
73,110393,II,1964.0
74,110400,II,130.0
75,110410,II,47.0
76,110425,II,1866.0
77,110430,II,214.0
78,110431,II,239.0
79,110432,II,223.0
80,110440,II,2043.0
81,110445,II,1364.0
82,110455,II,477.0
83,110465,II,932.0
84,110470,II,441.0
85,110475,II,948.0
86,110477,II,291.0
87,110485,II,324.0
88,110490,II,130.0
89,110492,II,132.0
90,110495,II,353.0
91,110503,II,251.0
92,110505,II,4.0
93,110510,II,19.0
94,110515,II,6.0
95,110720,II,4.0
96,110725,II,6.0
97,110735,II,15.0
98,110750,II,15.0
99,110752,II,14.0
100,110754,II,12.0
101,110756,II,60.0
102,110758,II,18.0
103,110760,II,588.0
104,110775,II,430.0
105,110778,II,1203.0
106,110781,II,721.0
107,110783,II,365.0
108,111300,II,20233.0
109,111301,II,8261.0
110,111302,II,6407.0
111,111303,II,4735.0
112,111304,II,14582.0
113,111305,II,8138.0
114,111306,II,8233.0
115,111307,II,6680.0
116,111308,II,9752.0
117,111309,II,8093.0
118,111310,II,16498.0
119,111351,II,91.0
120,111370,II,15294.0
121,111372,II,6607.0
122,111376,II,10604.0
123,111378,II,9929.0
124,111379,II,12119.0
125,111380,II,13282.0
126,111381,II,28118.0
127,111382,II,13899.0
128,111383,II,8869.0
129,111400,II,15.0
130,111704,II,73.0
131,111780,II,11.0
132,111781,II,20.0
133,111782,II,315.0
134,111783,II,692.0
135,111784,II,350.0
136,112300,II,5.0
137,112301,II,9950.0
138,112302,II,6193.0
139,112303,II,7568.0
140,112304,II,10722.0
141,112306,II,16646.0
142,112307,II,16344.0
143,112309,II,8288.0
144,112310,II,12925.0
145,112311,II,13853.0
146,112312,II,13829.0
147,112313,II,13615.0
148,112314,II,11042.0
149,112315,II,6745.0
150,112316,II,13323.0
151,112317,II,3624.0
152,112318,II,8449.0
153,112319,II,11683.0
154,112320,II,5455.0
155,112321,II,6984.0
156,112322,II,6941.0
157,112323,II,7.0
158,112407,II,3.0
159,112707,II,658.0
160,112716,II,85.0
161,112717,II,4076.0
162,112799,II,3.0
163,113181,II,6.0
164,113300,II,16037.0
165,113301,II,6039.0
166,113302,II,12710.0
167,113303,II,9920.0
168,113304,II,405.0
169,113305,II,4856.0
170,113306,II,7796.0
171,113307,II,7911.0
172,113308,II,7464.0
173,113309,II,7769.0
174,113310,II,7450.0
175,113311,II,11798.0
176,113312,II,10970.0
177,113313,II,11582.0
178,113314,II,8648.0
179,113315,II,7607.0
180,113316,II,10276.0
181,113317,II,7912.0
182,113318,II,11624.0
183,113319,II,3961.0
184,113320,II,4689.0
185,113321,II,2458.0
186,113322,II,7928.0
187,113323,II,6875.0
188,113324,II,8386.0
189,113326,II,9651.0
190,113328,II,12908.0
191,113329,II,7115.0
192,113330,II,10524.0
193,113331,II,8405.0
194,113332,II,8713.0
195,113333,II,3058.0
196,113334,II,3085.0
197,113390,II,12480.0
198,113394,II,6350.0
199,113396,II,5762.0
200,113402,II,2002.0
201,113404,II,979.0
202,113405,II,1506.0
203,113406,II,416.0
204,113407,II,925.0
205,113408,II,753.0
206,113409,II,2171.0
207,113410,II,340.0
208,113411,II,788.0
209,113412,II,538.0
210,113413,II,22.0
211,113701,II,2162.0
212,113702,II,818.0
213,113703,II,1393.0
214,113713,II,1118.0
215,113716,II,1735.0
216,113717,II,1131.0
217,113722,II,1663.0
218,113728,II,1518.0
219,113753,II,805.0
220,113790,II,1877.0
221,114102,II,1962.0
222,114150,II,4.0
223,114301,II,26337.0
224,114302,II,8366.0
225,114303,II,14868.0
226,114304,II,9635.0
227,114305,II,12770.0
228,114306,II,15188.0
229,114307,II,6675.0
230,114308,II,7389.0
231,114309,II,7564.0
232,114310,II,3251.0
233,114311,II,6113.0
234,114312,II,14013.0
235,114313,II,5753.0
236,114314,II,7516.0
237,114315,II,5313.0
238,114316,II,12390.0
239,114317,II,6770.0
240,114318,II,3011.0
241,114319,II,9221.0
242,114320,II,13417.0
243,114321,II,10295.0
244,114322,II,23549.0
245,114323,II,6403.0
246,114324,II,13649.0
247,114325,II,12583.0
248,114326,II,9212.0
249,114327,II,4550.0
250,114328,II,7759.0
251,114329,II,7280.0
252,114330,II,7975.0
253,114331,II,13281.0
254,114332,II,10666.0
255,114333,II,3113.0
256,114334,II,9327.0
257,114401,II,475.0
258,114403,II,68.0
259,114406,II,121.0
260,114407,II,758.0
261,114408,II,6.0
262,114409,II,4.0
263,114410,II,88.0
264,114706,II,20.0
265,114714,II,868.0
266,114796,II,34.0
267,200037,II,50.0
268,200080,II,23.0
269,200188,II,11.0
270,200210,II,1880.0
271,200236,II,7.0
272,200265,II,23.0
273,200282,II,3.0
274,200304,II,568.0
275,200337,II,1671.0
276,200342,II,9.0
277,200346,II,157.0
278,200347,II,531.0
279,200360,II,847.0
280,200361,II,2626.0
281,200365,II,136.0
282,200377,II,1322.0
283,200385,II,267.0
284,200454,II,363.0
285,200554,II,87.0
286,200961,II,2338.0
287,200962,II,444.0
288,200965,II,4008.0
289,201091,II,5126.0
290,201112,II,9418.0
291,109300,IIIa,9512.0
292,109301,IIIa,5425.0
293,109302,IIIa,2817.0
294,109303,IIIa,3650.0
295,109304,IIIa,781.0
296,109305,IIIa,3031.0
297,109307,IIIa,2287.0
